prompt,question_type,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,option_i,option_j,option_k,option_l,option_m,option_n,option_o,option_p,option_q,option_r,option_s,option_t,option_u,option_v,option_w,option_x,option_y,option_z,correct_answer,points,difficulty,instructions,passage,group_label,turn_type,preparation_seconds,response_seconds,adaptive_follow_up,part_code
"The committee's findings were largely ______ with those of the earlier study, which strengthened confidence in both sets of results.",mcq_single,consistent,persistent,insistent,resistant,,,,,,,,,,,,,,,,,,,,,,,A,1,medium,,,,,,,,Reading 1A
"Rather than stating her objection openly, she chose to ______ her disagreement in a series of carefully worded questions.",mcq_single,announce,veil,broadcast,inflate,,,,,,,,,,,,,,,,,,,,,,,B,1,medium,,,,,,,,Reading 1A
The report was criticised for relying on ______ evidence - a handful of memorable stories rather than systematic data.,mcq_single,empirical,statistical,anecdotal,theoretical,,,,,,,,,,,,,,,,,,,,,,,C,1,medium,,,,,,,,Reading 1A
Funding for the project was ______ on the team publishing its interim results by the end of the year.,mcq_single,contingent,reluctant,redundant,abundant,,,,,,,,,,,,,,,,,,,,,,,A,1,medium,,,,,,,,Reading 1A
"Although the two theories appear similar, a closer reading reveals a ______ but important difference in how each defines value.",mcq_single,blatant,subtle,drastic,profound,,,,,,,,,,,,,,,,,,,,,,,B,1,medium,,,,,,,,Reading 1A
The museum's new wing was designed to ______ the original building rather than compete with it.,mcq_single,complement,compliment,compensate,compile,,,,,,,,,,,,,,,,,,,,,,,A,1,medium,,,,,,,,Reading 1A
Choose the best option for gap (1).,mcq_single,emerged,emerge,emergency,,,,,,,,,,,,,,,,,,,,,,,,B,1,medium,,"Rethinking the office

For most of the twentieth century, the open-plan office was presented as a straightforward improvement on the private room. Removing walls, it was argued, would encourage the informal exchanges from which good ideas (1) ______. Employers were also drawn to the lower cost per employee.

Recent research has complicated that picture. When one firm converted two floors to open plan, face-to-face interaction (2) ______ by roughly seventy per cent, while email traffic rose. Rather than talking more, staff appeared to retreat behind headphones and screens.

The explanation may lie in privacy. In a room with no barriers, a conversation is (3) ______ to everyone within earshot, and workers seem to compensate by having fewer of them. Concentration suffers too: studies of interrupted work suggest it can take twenty minutes to (4) ______ full focus after a distraction.

None of this means the open plan should be abandoned. It suggests instead that a single layout is unlikely to suit every kind of work, and that offices should offer a (5) ______ of spaces - quiet rooms for concentration alongside open areas for collaboration.",,,,,,Reading 1B
Choose the best option for gap (2).,mcq_single,reduced,lessened,declined,,,,,,,,,,,,,,,,,,,,,,,,C,1,medium,,"Rethinking the office

For most of the twentieth century, the open-plan office was presented as a straightforward improvement on the private room. Removing walls, it was argued, would encourage the informal exchanges from which good ideas (1) ______. Employers were also drawn to the lower cost per employee.

Recent research has complicated that picture. When one firm converted two floors to open plan, face-to-face interaction (2) ______ by roughly seventy per cent, while email traffic rose. Rather than talking more, staff appeared to retreat behind headphones and screens.

The explanation may lie in privacy. In a room with no barriers, a conversation is (3) ______ to everyone within earshot, and workers seem to compensate by having fewer of them. Concentration suffers too: studies of interrupted work suggest it can take twenty minutes to (4) ______ full focus after a distraction.

None of this means the open plan should be abandoned. It suggests instead that a single layout is unlikely to suit every kind of work, and that offices should offer a (5) ______ of spaces - quiet rooms for concentration alongside open areas for collaboration.",,,,,,Reading 1B
Choose the best option for gap (3).,mcq_single,audible,audio,auditory,,,,,,,,,,,,,,,,,,,,,,,,A,1,medium,,"Rethinking the office

For most of the twentieth century, the open-plan office was presented as a straightforward improvement on the private room. Removing walls, it was argued, would encourage the informal exchanges from which good ideas (1) ______. Employers were also drawn to the lower cost per employee.

Recent research has complicated that picture. When one firm converted two floors to open plan, face-to-face interaction (2) ______ by roughly seventy per cent, while email traffic rose. Rather than talking more, staff appeared to retreat behind headphones and screens.

The explanation may lie in privacy. In a room with no barriers, a conversation is (3) ______ to everyone within earshot, and workers seem to compensate by having fewer of them. Concentration suffers too: studies of interrupted work suggest it can take twenty minutes to (4) ______ full focus after a distraction.

None of this means the open plan should be abandoned. It suggests instead that a single layout is unlikely to suit every kind of work, and that offices should offer a (5) ______ of spaces - quiet rooms for concentration alongside open areas for collaboration.",,,,,,Reading 1B
Choose the best option for gap (4).,mcq_single,return,restore,regain,,,,,,,,,,,,,,,,,,,,,,,,C,1,medium,,"Rethinking the office

For most of the twentieth century, the open-plan office was presented as a straightforward improvement on the private room. Removing walls, it was argued, would encourage the informal exchanges from which good ideas (1) ______. Employers were also drawn to the lower cost per employee.

Recent research has complicated that picture. When one firm converted two floors to open plan, face-to-face interaction (2) ______ by roughly seventy per cent, while email traffic rose. Rather than talking more, staff appeared to retreat behind headphones and screens.

The explanation may lie in privacy. In a room with no barriers, a conversation is (3) ______ to everyone within earshot, and workers seem to compensate by having fewer of them. Concentration suffers too: studies of interrupted work suggest it can take twenty minutes to (4) ______ full focus after a distraction.

None of this means the open plan should be abandoned. It suggests instead that a single layout is unlikely to suit every kind of work, and that offices should offer a (5) ______ of spaces - quiet rooms for concentration alongside open areas for collaboration.",,,,,,Reading 1B
Choose the best option for gap (5).,mcq_single,row,range,rank,,,,,,,,,,,,,,,,,,,,,,,,B,1,medium,,"Rethinking the office

For most of the twentieth century, the open-plan office was presented as a straightforward improvement on the private room. Removing walls, it was argued, would encourage the informal exchanges from which good ideas (1) ______. Employers were also drawn to the lower cost per employee.

Recent research has complicated that picture. When one firm converted two floors to open plan, face-to-face interaction (2) ______ by roughly seventy per cent, while email traffic rose. Rather than talking more, staff appeared to retreat behind headphones and screens.

The explanation may lie in privacy. In a room with no barriers, a conversation is (3) ______ to everyone within earshot, and workers seem to compensate by having fewer of them. Concentration suffers too: studies of interrupted work suggest it can take twenty minutes to (4) ______ full focus after a distraction.

None of this means the open plan should be abandoned. It suggests instead that a single layout is unlikely to suit every kind of work, and that offices should offer a (5) ______ of spaces - quiet rooms for concentration alongside open areas for collaboration.",,,,,,Reading 1B
Choose the best option for gap 1.,matching_unique,However,In fact,For instance,Ultimately,Thanks to,In response,Crucially,In particular,,,,,,,,,,,,,,,,,,,B,1,medium,,"Citizen science

Citizen science - research carried out with the help of volunteers - has grown rapidly over the past two decades. {{blank:1}}, the practice is far from new: amateur naturalists were recording bird migrations and rainfall long before the term was coined. What has changed is scale. {{blank:2}} smartphones and online platforms, a single project can now gather millions of observations in one season.

The appeal to researchers is obvious. They obtain data at a volume no funded team could collect alone, and across areas far wider than a research station can cover. {{blank:3}}, the benefits run in both directions: participants consistently report a better grasp of how evidence is gathered and why it is uncertain.

{{blank:4}}, the approach has its critics, and their central objection is data quality. Volunteers differ widely in training, and an enthusiastic observer may record a rare species that was never there. {{blank:5}}, most large projects now build in verification: photographs are required, records are cross-checked against known ranges, and statistical models weight observations by an observer's track record.

{{blank:6}}, citizen science is best understood not as a cheap substitute for professional research, but as a distinct method with strengths a laboratory cannot reproduce.",,,,,,Reading 2
Choose the best option for gap 2.,matching_unique,However,In fact,For instance,Ultimately,Thanks to,In response,Crucially,In particular,,,,,,,,,,,,,,,,,,,E,1,medium,,"Citizen science

Citizen science - research carried out with the help of volunteers - has grown rapidly over the past two decades. {{blank:1}}, the practice is far from new: amateur naturalists were recording bird migrations and rainfall long before the term was coined. What has changed is scale. {{blank:2}} smartphones and online platforms, a single project can now gather millions of observations in one season.

The appeal to researchers is obvious. They obtain data at a volume no funded team could collect alone, and across areas far wider than a research station can cover. {{blank:3}}, the benefits run in both directions: participants consistently report a better grasp of how evidence is gathered and why it is uncertain.

{{blank:4}}, the approach has its critics, and their central objection is data quality. Volunteers differ widely in training, and an enthusiastic observer may record a rare species that was never there. {{blank:5}}, most large projects now build in verification: photographs are required, records are cross-checked against known ranges, and statistical models weight observations by an observer's track record.

{{blank:6}}, citizen science is best understood not as a cheap substitute for professional research, but as a distinct method with strengths a laboratory cannot reproduce.",,,,,,Reading 2
Choose the best option for gap 3.,matching_unique,However,In fact,For instance,Ultimately,Thanks to,In response,Crucially,In particular,,,,,,,,,,,,,,,,,,,G,1,medium,,"Citizen science

Citizen science - research carried out with the help of volunteers - has grown rapidly over the past two decades. {{blank:1}}, the practice is far from new: amateur naturalists were recording bird migrations and rainfall long before the term was coined. What has changed is scale. {{blank:2}} smartphones and online platforms, a single project can now gather millions of observations in one season.

The appeal to researchers is obvious. They obtain data at a volume no funded team could collect alone, and across areas far wider than a research station can cover. {{blank:3}}, the benefits run in both directions: participants consistently report a better grasp of how evidence is gathered and why it is uncertain.

{{blank:4}}, the approach has its critics, and their central objection is data quality. Volunteers differ widely in training, and an enthusiastic observer may record a rare species that was never there. {{blank:5}}, most large projects now build in verification: photographs are required, records are cross-checked against known ranges, and statistical models weight observations by an observer's track record.

{{blank:6}}, citizen science is best understood not as a cheap substitute for professional research, but as a distinct method with strengths a laboratory cannot reproduce.",,,,,,Reading 2
Choose the best option for gap 4.,matching_unique,However,In fact,For instance,Ultimately,Thanks to,In response,Crucially,In particular,,,,,,,,,,,,,,,,,,,A,1,medium,,"Citizen science

Citizen science - research carried out with the help of volunteers - has grown rapidly over the past two decades. {{blank:1}}, the practice is far from new: amateur naturalists were recording bird migrations and rainfall long before the term was coined. What has changed is scale. {{blank:2}} smartphones and online platforms, a single project can now gather millions of observations in one season.

The appeal to researchers is obvious. They obtain data at a volume no funded team could collect alone, and across areas far wider than a research station can cover. {{blank:3}}, the benefits run in both directions: participants consistently report a better grasp of how evidence is gathered and why it is uncertain.

{{blank:4}}, the approach has its critics, and their central objection is data quality. Volunteers differ widely in training, and an enthusiastic observer may record a rare species that was never there. {{blank:5}}, most large projects now build in verification: photographs are required, records are cross-checked against known ranges, and statistical models weight observations by an observer's track record.

{{blank:6}}, citizen science is best understood not as a cheap substitute for professional research, but as a distinct method with strengths a laboratory cannot reproduce.",,,,,,Reading 2
Choose the best option for gap 5.,matching_unique,However,In fact,For instance,Ultimately,Thanks to,In response,Crucially,In particular,,,,,,,,,,,,,,,,,,,F,1,medium,,"Citizen science

Citizen science - research carried out with the help of volunteers - has grown rapidly over the past two decades. {{blank:1}}, the practice is far from new: amateur naturalists were recording bird migrations and rainfall long before the term was coined. What has changed is scale. {{blank:2}} smartphones and online platforms, a single project can now gather millions of observations in one season.

The appeal to researchers is obvious. They obtain data at a volume no funded team could collect alone, and across areas far wider than a research station can cover. {{blank:3}}, the benefits run in both directions: participants consistently report a better grasp of how evidence is gathered and why it is uncertain.

{{blank:4}}, the approach has its critics, and their central objection is data quality. Volunteers differ widely in training, and an enthusiastic observer may record a rare species that was never there. {{blank:5}}, most large projects now build in verification: photographs are required, records are cross-checked against known ranges, and statistical models weight observations by an observer's track record.

{{blank:6}}, citizen science is best understood not as a cheap substitute for professional research, but as a distinct method with strengths a laboratory cannot reproduce.",,,,,,Reading 2
Choose the best option for gap 6.,matching_unique,However,In fact,For instance,Ultimately,Thanks to,In response,Crucially,In particular,,,,,,,,,,,,,,,,,,,D,1,medium,,"Citizen science

Citizen science - research carried out with the help of volunteers - has grown rapidly over the past two decades. {{blank:1}}, the practice is far from new: amateur naturalists were recording bird migrations and rainfall long before the term was coined. What has changed is scale. {{blank:2}} smartphones and online platforms, a single project can now gather millions of observations in one season.

The appeal to researchers is obvious. They obtain data at a volume no funded team could collect alone, and across areas far wider than a research station can cover. {{blank:3}}, the benefits run in both directions: participants consistently report a better grasp of how evidence is gathered and why it is uncertain.

{{blank:4}}, the approach has its critics, and their central objection is data quality. Volunteers differ widely in training, and an enthusiastic observer may record a rare species that was never there. {{blank:5}}, most large projects now build in verification: photographs are required, records are cross-checked against known ranges, and statistical models weight observations by an observer's track record.

{{blank:6}}, citizen science is best understood not as a cheap substitute for professional research, but as a distinct method with strengths a laboratory cannot reproduce.",,,,,,Reading 2
Which text explains where you can get feedback on a draft before submitting it?,matching_reusable,Library: extended opening,Academic Writing Centre,Careers Fair,Accommodation Office,,,,,,,,,,,,,,,,,,,,,,,B,1,medium,,"A - Library: extended opening
From 12 May until the end of the examination period, the main library will open at 07:00 and close at 02:00 daily, including weekends. Group study rooms may be booked online up to seven days in advance; bookings not claimed within fifteen minutes will be released. Silent study is enforced on floors 4 and 5. Hot food may not be brought into the building.

B - Academic Writing Centre
The centre offers free one-to-one appointments of thirty minutes with a writing tutor. Bring a printed draft and a copy of the assignment brief. Tutors will discuss structure, argument and referencing, and will help you identify recurring language errors - but they do not proofread, and they will not predict a grade. Appointments open each Monday at 09:00 and are usually taken within the day.

C - Careers Fair
Over ninety employers will attend this year's fair in the Sports Hall on 3 June, 10:00-16:00. No registration is needed. Students are advised to bring printed copies of their CV; a free CV review desk will operate near the entrance until 14:00. Employers in engineering, health and financial services are represented most heavily this year.

D - Accommodation Office
Applications for university housing for the next academic year close on 30 June. Late applications are considered only if rooms remain. Students wishing to remain in their current room must apply again; rooms are not renewed automatically. The office can also advise on private rented housing and will check a tenancy agreement before you sign it.",,,,,,Reading 3
Which text warns that a service will not be continued automatically?,matching_reusable,Library: extended opening,Academic Writing Centre,Careers Fair,Accommodation Office,,,,,,,,,,,,,,,,,,,,,,,D,1,medium,,"A - Library: extended opening
From 12 May until the end of the examination period, the main library will open at 07:00 and close at 02:00 daily, including weekends. Group study rooms may be booked online up to seven days in advance; bookings not claimed within fifteen minutes will be released. Silent study is enforced on floors 4 and 5. Hot food may not be brought into the building.

B - Academic Writing Centre
The centre offers free one-to-one appointments of thirty minutes with a writing tutor. Bring a printed draft and a copy of the assignment brief. Tutors will discuss structure, argument and referencing, and will help you identify recurring language errors - but they do not proofread, and they will not predict a grade. Appointments open each Monday at 09:00 and are usually taken within the day.

C - Careers Fair
Over ninety employers will attend this year's fair in the Sports Hall on 3 June, 10:00-16:00. No registration is needed. Students are advised to bring printed copies of their CV; a free CV review desk will operate near the entrance until 14:00. Employers in engineering, health and financial services are represented most heavily this year.

D - Accommodation Office
Applications for university housing for the next academic year close on 30 June. Late applications are considered only if rooms remain. Students wishing to remain in their current room must apply again; rooms are not renewed automatically. The office can also advise on private rented housing and will check a tenancy agreement before you sign it.",,,,,,Reading 3
Which text states a time limit after which a reservation is cancelled?,matching_reusable,Library: extended opening,Academic Writing Centre,Careers Fair,Accommodation Office,,,,,,,,,,,,,,,,,,,,,,,A,1,medium,,"A - Library: extended opening
From 12 May until the end of the examination period, the main library will open at 07:00 and close at 02:00 daily, including weekends. Group study rooms may be booked online up to seven days in advance; bookings not claimed within fifteen minutes will be released. Silent study is enforced on floors 4 and 5. Hot food may not be brought into the building.

B - Academic Writing Centre
The centre offers free one-to-one appointments of thirty minutes with a writing tutor. Bring a printed draft and a copy of the assignment brief. Tutors will discuss structure, argument and referencing, and will help you identify recurring language errors - but they do not proofread, and they will not predict a grade. Appointments open each Monday at 09:00 and are usually taken within the day.

C - Careers Fair
Over ninety employers will attend this year's fair in the Sports Hall on 3 June, 10:00-16:00. No registration is needed. Students are advised to bring printed copies of their CV; a free CV review desk will operate near the entrance until 14:00. Employers in engineering, health and financial services are represented most heavily this year.

D - Accommodation Office
Applications for university housing for the next academic year close on 30 June. Late applications are considered only if rooms remain. Students wishing to remain in their current room must apply again; rooms are not renewed automatically. The office can also advise on private rented housing and will check a tenancy agreement before you sign it.",,,,,,Reading 3
Which text says that attendance requires no advance booking?,matching_reusable,Library: extended opening,Academic Writing Centre,Careers Fair,Accommodation Office,,,,,,,,,,,,,,,,,,,,,,,C,1,medium,,"A - Library: extended opening
From 12 May until the end of the examination period, the main library will open at 07:00 and close at 02:00 daily, including weekends. Group study rooms may be booked online up to seven days in advance; bookings not claimed within fifteen minutes will be released. Silent study is enforced on floors 4 and 5. Hot food may not be brought into the building.

B - Academic Writing Centre
The centre offers free one-to-one appointments of thirty minutes with a writing tutor. Bring a printed draft and a copy of the assignment brief. Tutors will discuss structure, argument and referencing, and will help you identify recurring language errors - but they do not proofread, and they will not predict a grade. Appointments open each Monday at 09:00 and are usually taken within the day.

C - Careers Fair
Over ninety employers will attend this year's fair in the Sports Hall on 3 June, 10:00-16:00. No registration is needed. Students are advised to bring printed copies of their CV; a free CV review desk will operate near the entrance until 14:00. Employers in engineering, health and financial services are represented most heavily this year.

D - Accommodation Office
Applications for university housing for the next academic year close on 30 June. Late applications are considered only if rooms remain. Students wishing to remain in their current room must apply again; rooms are not renewed automatically. The office can also advise on private rented housing and will check a tenancy agreement before you sign it.",,,,,,Reading 3
